model,horizon_h,RMSE,MAE,MAPE
ARIMA,1,39.79485189316991,30.658495707072174,96.3641118666856
ARIMA,2,39.39748468998564,30.42016360786058,95.89946464925019
ARIMA,3,39.487500450855535,30.363227268815525,95.8583552907458
ARIMA,4,39.46659934664653,30.305745161935068,95.69499814248186
ARIMA,5,39.44231899435605,30.268425046613697,95.87710613887315
ARIMA,6,39.37013995943449,30.166314951508543,95.81902947759353
LSTM,1,36.01569101612876,27.20362102657266,98.08244454255878
LSTM,2,35.52750664940817,26.702617859629605,98.62546065098678
LSTM,3,35.89750322934074,26.992037444175292,100.67006806547928
LSTM,4,36.14040883937538,27.214329377135748,101.95447368983947
LSTM,5,36.10080334625894,27.145193304330167,103.53603080396621
LSTM,6,35.99689825340261,26.97694941061317,101.59049263384476
Bi-LSTM,1,35.98780758430262,27.192323828216473,96.97050036971825
Bi-LSTM,2,35.4638431771714,26.75864359486096,98.05747016302881
Bi-LSTM,3,35.90108956459152,27.0609993240996,101.4373998088821
Bi-LSTM,4,36.15175251529688,27.159496135123835,100.45165986214401
Bi-LSTM,5,36.08910049652793,27.069485167673204,102.78089205998286
Bi-LSTM,6,35.850098290827866,26.80083104530281,101.41993855603089
